hanzi	pinyin_ming
老人	lǎorén
老朋友	lǎo péngyou
普通话	pǔtōnghuà
方言	fāngyán
披萨	pīsà
热狗	règǒu
蛋挞	dàntà
卡片	kǎpiàn
可爱	kě'ài
大学	dàxué
上课	shàng kè
现在	xiànzài
工人	gōngrén
工作日	gōngzuòrì
马	mǎ
年龄	niánlíng
儿子	érzi
小孩子	xiǎo háizi
有名	yǒumíng
名片	míngpiàn
学院	xuéyuàn
餐厅	cāntīng
男生	nánshēng
系	xì
哪一个	nǎ yí ge
去	qù
找	zhǎo
看书	kàn shū
看电影	kàn diànyǐng
电影	diànyǐng
唱歌	chàng gē
宋	Sòng
力波	Lìbō
大为	Dàwéi
小云	Xiǎoyún
可以	kěyǐ
死	sǐ
了	le
手	shǒu
王	Wáng
陆	Lù
这儿	zhèr
说	shuō
那儿	nàr
梅西	Méixī
一下	yíxià
本	běn
酒	jiǔ
孔子学院	Kǒngzǐ Xuéyuàn
二十	èrshí
小猫	xiǎomāo
吃饭	chī fàn
李	Lǐ
大家	dàjiā
张王冉	Zhāng Wángrǎn
三十	sānshí
二十五	èrshíwǔ
七十五	qīshíwǔ
上	shàng
孩子们	háizimen
成龙	Chéng Lóng
巩俐	Gǒng Lì
姚明	Yáo Míng
马云	Mǎ Yún
林	Lín
班	bān
玛丽	Mǎlì
上午	shàngwǔ
北京人	Běijīng rén
美国人	Měiguó rén
